userid,movieid,count,time,tmdb_id,popularity,vote_average,flag
741906,chappie+2015,16,2022-11-14T13:27:55,198184,30.206365,6.6,0
169061,inception+2010,16,2022-11-14T13:25:02,27205,29.108149,8.1,0
48129,emma+2009,16,2022-11-14T13:39,183894,2.853737,7.6,0
675053,the+year+of+the+hare+1977,15,2022-11-14T13:28:46,39008,0.680347,7.4,0
102913,decoy+1946,16,2022-11-14T13:30:06,20028,0.281682,5.4,0
390618,the+angels+share+2012,12,2022-11-14T13:36:42,103747,12.807728,7.0,0
46247,princess+mononoke+1997,15,2022-11-14T13:30:52,128,17.166725,8.2,0
230589,how+to+train+your+dragon+2010,16,2022-11-14T13:27:04,10191,14.416681,7.5,0
746975,big+hero+6+2014,15,2022-11-14T13:26:46,177572,213.849907,7.8,0
314293,mississippi+burning+1988,16,2022-11-14T13:38:42,1632,13.971865,7.4,0
237636,evil+dead+ii+1987,16,2022-11-14T13:39:02,765,13.520764,7.5,0
127632,whiplash+2014,16,2022-11-14T13:28:19,244786,64.29999,8.3,0
735612,aparajito+1956,16,2022-11-14T13:35:59,897,2.80051,7.9,0
19312,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,15,2022-11-14T13:33:21,120,32.070725,8.0,0
545781,the+hour+of+the+furnaces+1968,15,2022-11-14T13:30:04,89681,0.185,3.6,0
176253,pyaar+ka+punchnama+2011,15,2022-11-14T13:38:20,65521,1.294741,7.5,0
730498,the+girl+who+leapt+through+time+2006,15,2022-11-14T13:32:12,14069,12.430158,7.8,0
90862,fight+club+1999,11,2022-11-14T13:26:45,550,63.869599,8.3,0
256726,king+kong+2005,15,2022-11-14T13:37:15,254,19.761164,6.6,0
629374,ikigami+the+ultimate+limit+2008,15,2022-11-14T13:28:22,19063,1.66277,7.4,0
424180,fury+2014,15,2022-11-14T13:24:07,228150,36.713807,7.4,0
282028,princess+mononoke+1997,15,2022-11-14T13:33:39,128,17.166725,8.2,0
498703,miracle+in+milan+1951,16,2022-11-14T13:33:37,43379,1.607246,7.0,0
